Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.,Engagement Rate,Fake Score,Trust Score,Anomaly
jenniferwinget1,976,Cinema & Actors/actresses,13100000.0,India,131100.0,160200.0,1.000763358778626,0,100,1
nadine.nassib.njeim,977,Cinema & Actors/actressesModeling,15000000.0,Iraq,98800.0,140400.0,0.6586666666666667,50,50,1
shahinsamadpoor,978,Literature & JournalismCinema & Actors/actresses,4500000.0,Iran,365300.0,481400.0,8.117777777777778,0,100,1
julienco_,979,LifestyleFamily,6300000.0,Germany,273400.0,337500.0,4.33968253968254,0,100,1
allusnehareddy,980,Unknown,8199999.999999999,India,220700.0,256100.00000000003,2.6914634146341467,0,100,1
voguemagazine,981,Literature & JournalismFashion,39600000.0,United States,34200.0,52500.0,0.08636363636363636,50,50,1
ho5hi_kwon,982,Unknown,3000000.0,Indonesia,547000.0,712100.0,18.23333333333333,0,100,1
melissabenoist,983,FamilyCinema & Actors/actresses,4800000.0,United States,324700.0,439500.0,6.764583333333333,0,100,1
barstoolsports,984,Lifestyle,13900000.0,United States,98200.0,148200.0,0.706474820143885,50,50,1
piyanka_mongia,985,Humor & Fun & HappinessLifestyleBeauty,8800000.0,India,191500.0,240400.0,2.1761363636363638,0,100,1
5sos,986,Music,10100000.0,United States,147400.0,203600.0,1.4594059405940596,0,100,1
jxxvvxxk,987,Unknown,3400000.0,Indonesia,489800.0,614300.0,14.405882352941177,0,100,1
lynaritaa,988,Lifestyle,9000000.0,United States,176700.0,234100.0,1.9633333333333332,0,100,1
tomo.y9,989,MusicArt/Artists,5000000.0,Japan,393600.0,422000.0,7.872,0,100,1
wayvofficial,990,Music,7300000.0,Indonesia,238200.0,283700.0,3.2630136986301372,0,100,1
supremo_dp,991,Music,5000000.0,Philippines,337900.0,416300.0,6.758,0,100,1
jaredleto,992,MusicCinema & Actors/actresses,10900000.0,United States,149900.0,188500.0,1.3752293577981651,0,100,1
thariqhalilintar,993,Shows,7400000.0,Indonesia,225600.0,279500.0,3.0486486486486486,0,100,1
ferozekhan,994,LifestyleModeling,6600000.0,Pakistan,267400.0,315800.0,4.051515151515152,0,100,1
garciajoshuae,995,Modeling,5000000.0,Philippines,357500.0,412100.0,7.1499999999999995,0,100,1
nimratkhairaofficial,996,Music,8000000.0,India,211100.0,261800.0,2.63875,0,100,1
hanhyojoo222,997,TravelCinema & Actors/actresses,4000000.0,Indonesia,434200.0,518200.00000000006,10.854999999999999,0,100,1
memphisdepay,998,Sports with a ball,15000000.0,France,76400.0,135500.0,0.5093333333333333,50,50,1
arminzareeiofficial,999,Unknown,9800000.0,Iran,135400.0,214000.0,1.3816326530612246,0,100,1
noorstars,1000,Shows,13000000.0,Iraq,117600.0,157600.0,0.9046153846153846,50,50,1
